;recorded by GEM.dll
Line,Sample,Mark,Status,GPSStat,Time[ms],PowerLn1,I1_450Hz,Q1_450Hz,I1_1530Hz,Q1_1530Hz,I1_5310Hz,Q1_5310Hz,I1_18330Hz,Q1_18330Hz,I1_63030Hz,Q1_63030Hz,Q1_SumC
 1,144, 0,0,1,539412544,35.5, 34345.238,21941.418,52875.805,22965.602,71762.469,19676.000,86023.047,12732.366,98783.633,6287.761,83603.141
 1,145, 0,0,1,539413544,35.6, 33862.453,22355.244,52839.234,23249.520,71937.797,20030.172,86275.844,13175.110,99294.898,6735.033,85545.078
 1,146, 0,0,1,539414544,34.0, 33858.082,22163.428,53032.563,23373.965,71439.031,15913.565,85875.586,12882.229,99876.508,6610.190,80943.375
 1,147, 0,0,1,539415544,34.7, 33651.793,21994.535,52936.977,23212.795,71978.359,19841.080,86124.547,13075.741,99180.203,6735.619,84859.766
 1,148, 0,0,1,539416544,35.3, 33632.965,22014.002,52698.293,23446.416,72205.547,19701.789,86003.297,13027.868,99770.531,6796.832,84986.906
 1,149, 0,0,1,539417544,34.7, 33873.168,22269.100,52979.391,23242.805,71718.867,19814.697,86010.906,12885.642,99265.148,6771.621,84983.859
 1,150, 0,0,1,539418544,34.5, 33445.367,21812.510,52801.398,23147.129,72298.773,20339.387,86115.742,12962.358,99780.016,5497.845,83759.227
 1,151, 0,0,1,539419544,35.1, 33496.090,22120.863,52952.270,23275.141,72047.906,20215.168,85907.164,13101.811,98990.922,6387.860,85100.844
 1,152, 0,0,1,539420544,34.8, 33525.207,21916.967,52897.816,23233.295,72237.117,19636.154,86153.656,13075.817,99278.438,6027.990,83890.227
 1,153, 0,0,1,539421544,35.6, 33662.262,22014.365,52922.004,23422.191,71886.430,19428.045,86318.469,13135.120,98801.391,6004.289,84004.008
 1,154, 0,0,1,539422544,35.9, 33386.570,22374.539,53122.680,23198.391,72233.125,20026.184,86280.047,13033.434,99221.633,6465.404,85097.953
